Éí¸ß	ÌåÖØ	ÁìÎ§	Ðä³¤	¼ç¿í	ÐØÎ§	ÖÐÑü	¿ã³¤	Ðä·Ê	¿ãÑü	ÍÎÎ§	´óÍÈÎ§	ÒÂ³¤	Ö±µµ	Ðä¿Ú
174	83	41.1	62	49	106.3	97.8	101.2	35	95.9	105.2	60.2	75.6	67.8	18.7
174	84	41.3	62	49.2	107	98.5	101.2	35.2	96.5	105.7	60.6	75.7	68.1	18.8
174	85	41.5	62	49.4	107.6	99.3	101.2	35.5	97.1	106.3	61	75.8	68.3	18.9
174	86	41.6	62	49.6	108.2	100.1	101.2	35.7	97.7	106.9	61.4	75.9	68.6	18.9
174	87	41.8	62	49.7	108.9	100.8	101.2	35.9	98.2	107.5	61.8	76	68.8	19
174	88	41.9	61.9	49.9	109.5	101.6	101.2	36.2	98.8	108.1	62.2	76.1	69.1	19
174	89	42.1	61.9	50.1	110.1	102.4	101.2	36.4	99.4	108.6	62.6	76.2	69.3	19.1
174	90	42.2	61.9	50.3	110.8	103.1	101.2	36.6	100	109.2	62.9	76.3	69.6	19.1
174	91	42.4	61.9	50.4	111.4	103.9	101.2	36.9	100.5	109.8	63.3	76.4	69.8	19.2
174	92	42.5	61.9	50.6	112	104.7	101.2	37.1	101.1	110.4	63.7	76.5	70.1	19.3
174	93	42.7	61.9	50.8	112.7	105.4	101.2	37.3	101.7	111	64.1	76.6	70.3	19.3
174	94	42.8	61.9	51	113.3	106.2	101.1	37.6	102.3	111.5	64.5	76.7	70.6	19.4
174	95	43	61.9	51.2	114	106.9	101.1	37.8	102.8	112.1	64.9	76.8	70.8	19.4
174	96	43.1	61.9	51.3	114.6	107.7	101.1	38	103.4	112.7	65.3	76.9	71.1	19.5
174	97	43.3	61.9	51.5	115.2	108.5	101.1	38.3	104	113.3	65.7	77	71.3	19.5
174	98	43.4	61.8	51.7	115.9	109.2	101.1	38.5	104.6	113.9	66	77.1	71.6	19.6
174	99	43.6	61.8	51.9	116.5	110	101.1	38.7	105.1	114.5	66.4	77.2	71.8	19.7
174	100	43.7	61.8	52	117.1	110.8	101.1	39	105.7	115	66.8	77.3	72.1	19.7
174	101	43.9	61.8	52.2	117.8	111.5	101.1	39.2	106.3	115.6	67.2	77.4	72.3	19.8
174	102	44	61.8	52.4	118.4	112.3	101.1	39.4	106.9	116.2	67.6	77.5	72.6	19.8
174	103	44.2	61.8	52.6	119	113.1	101.1	39.7	107.4	116.8	68	77.6	72.8	19.9
174	104	44.3	61.8	52.8	119.7	113.8	101	39.9	108	117.4	68.4	77.7	73	19.9
174	105	44.5	61.8	52.9	120.3	114.6	101	40.1	108.6	117.9	68.7	77.8	73.3	20
174	106	44.6	61.8	53.1	120.9	115.3	101	40.4	109.2	118.5	69.1	77.9	73.5	20
174	107	44.8	61.7	53.3	121.6	116.1	101	40.6	109.7	119.1	69.5	78	73.8	20.1
174	108	44.9	61.7	53.5	122.2	116.9	101	40.8	110.3	119.7	69.9	78.1	74	20.2
174	109	45.1	61.7	53.7	122.8	117.6	101	41	110.9	120.3	70.3	78.2	74.3	20.2
174	110	45.2	61.7	53.8	123.5	118.4	101	41.3	111.4	120.8	70.7	78.3	74.5	20.3
174	111	45.4	61.7	54	124.1	119.2	101	41.5	112	121.4	71.1	78.4	74.8	20.3
174	112	45.5	61.7	54.2	124.8	119.9	101	41.7	112.6	122	71.4	78.5	75	20.4
174	113	45.7	61.7	54.4	125.4	120.7	101	42	113.2	122.6	71.8	78.6	75.3	20.4
174	114	45.8	61.7	54.5	126	121.4	101	42.2	113.7	123.2	72.2	78.7	75.5	20.5
174	115	46	61.7	54.7	126.7	122.2	100.9	42.4	114.3	123.7	72.6	78.8	75.8	20.6
174	116	46.1	61.7	54.9	127.3	123	100.9	42.7	114.9	124.3	73	78.9	76	20.6
174	117	46.3	61.6	55.1	127.9	123.7	100.9	42.9	115.5	124.9	73.4	79	76.3	20.7
174	118	46.4	61.6	55.3	128.6	124.5	100.9	43.1	116	125.5	73.8	79.1	76.5	20.7
174	119	46.6	61.6	55.4	129.2	125.3	100.9	43.4	116.6	126.1	74.1	79.2	76.8	20.8
174	120	46.8	61.6	55.6	129.8	126	100.9	43.6	117.2	126.7	74.5	79.3	77	20.8
174	121	46.9	61.6	55.8	130.5	126.8	100.9	43.8	117.8	127.2	74.9	79.4	77.3	20.9
174	122	47.1	61.6	56	131.1	127.6	100.9	44.1	118.3	127.8	75.3	79.5	77.5	21
174	123	47.2	61.6	56.1	131.8	128.3	100.9	44.3	118.9	128.4	75.7	79.6	77.8	21
174	124	47.4	61.6	56.3	132.4	129.1	100.9	44.5	119.5	129	76.1	79.7	78	21.1
174	125	47.5	61.6	56.5	133	129.8	100.8	44.8	120.1	129.6	76.5	79.8	78.3	21.1
174	126	47.7	61.5	56.7	133.7	130.6	100.8	45	120.6	130.1	76.8	79.9	78.5	21.2
174	127	47.8	61.5	56.9	134.3	131.4	100.8	45.2	121.2	130.7	77.2	80	78.8	21.2
174	128	48	61.5	57	134.9	132.1	100.8	45.5	121.8	131.3	77.6	80.1	79	21.3
174	129	48.1	61.5	57.2	135.6	132.9	100.8	45.7	122.4	131.9	78	80.2	79.3	21.4
174	130	48.3	61.5	57.4	136.2	133.7	100.8	45.9	122.9	132.5	78.4	80.3	79.5	21.4
175	35	33.8	62.9	40.5	75.6	60.8	102.4	23.8	68.2	77.1	41.5	71.1	55.8	16
175	36	34	62.9	40.7	76.2	61.6	102.3	24	68.8	77.6	41.9	71.2	56.1	16.1
175	37	34.1	62.9	40.9	76.9	62.3	102.3	24.2	69.4	78.2	42.3	71.3	56.3	16.1
175	38	34.3	62.9	41.1	77.5	63.1	102.3	24.4	69.9	78.8	42.7	71.4	56.6	16.2
175	39	34.5	62.9	41.2	78.2	63.9	102.3	24.7	70.5	79.4	43.1	71.5	56.8	16.2
175	40	34.6	62.9	41.4	78.8	64.6	102.3	24.9	71.1	80	43.5	71.6	57.1	16.3
175	41	34.8	62.9	41.6	79.4	65.4	102.3	25.1	71.7	80.5	43.9	71.7	57.3	16.4
175	42	34.9	62.8	41.8	80.1	66.2	102.3	25.4	72.2	81.1	44.2	71.8	57.6	16.4
175	43	35.1	62.8	42	80.7	66.9	102.3	25.6	72.8	81.7	44.6	71.9	57.8	16.5
175	44	35.2	62.8	42.1	81.3	67.7	102.3	25.8	73.4	82.3	45	72	58.1	16.5
175	45	35.4	62.8	42.3	82	68.4	102.3	26.1	74	82.9	45.4	72.1	58.3	16.6
175	46	35.5	62.8	42.5	82.6	69.2	102.2	26.3	74.5	83.4	45.8	72.2	58.6	16.6
175	47	35.7	62.8	42.7	83.2	70	102.2	26.5	75.1	84	46.2	72.3	58.8	16.7
175	48	35.8	62.8	42.8	83.9	70.7	102.2	26.8	75.7	84.6	46.6	72.4	59.1	16.8
175	49	36	62.8	43	84.5	71.5	102.2	27	76.3	85.2	46.9	72.5	59.3	16.8
175	50	36.1	62.8	43.2	85.1	72.3	102.2	27.2	76.8	85.8	47.3	72.6	59.6	16.9
175	51	36.3	62.7	43.4	85.8	73	102.2	27.5	77.4	86.4	47.7	72.7	59.8	16.9
175	52	36.4	62.7	43.6	86.4	73.8	102.2	27.7	78	86.9	48.1	72.8	60.1	17
175	53	36.6	62.7	43.7	87.1	74.6	102.2	27.9	78.6	87.5	48.5	72.9	60.3	17
175	54	36.7	62.7	43.9	87.7	75.3	102.2	28.2	79.1	88.1	48.9	73	60.6	17.1
175	55	36.9	62.7	44.1	88.3	76.1	102.2	28.4	79.7	88.7	49.3	73.1	60.8	17.2
175	56	37	62.7	44.3	89	76.8	102.2	28.6	80.3	89.3	49.6	73.2	61	17.2
175	57	37.2	62.7	44.4	89.6	77.6	102.1	28.9	80.9	89.8	50	73.3	61.3	17.3
175	58	37.3	62.7	44.6	90.2	78.4	102.1	29.1	81.4	90.4	50.4	73.4	61.5	17.3
175	59	37.5	62.7	44.8	90.9	79.1	102.1	29.3	82	91	50.8	73.5	61.8	17.4
175	60	37.6	62.7	45	91.5	79.9	102.1	29.6	82.6	91.6	51.2	73.6	62	17.4
175	61	37.8	62.6	45.2	92.1	80.7	102.1	29.8	83.1	92.2	51.6	73.7	62.3	17.5
175	62	37.9	62.6	45.3	92.8	81.4	102.1	30	83.7	92.7	52	73.8	62.5	17.6
175	63	38.1	62.6	45.5	93.4	82.2	102.1	30.2	84.3	93.3	52.3	73.9	62.8	17.6
175	64	38.2	62.6	45.7	94	82.9	102.1	30.5	84.9	93.9	52.7	74	63	17.7
175	65	38.4	62.6	45.9	94.7	83.7	102.1	30.7	85.4	94.5	53.1	74.1	63.3	17.7
175	66	38.5	62.6	46.1	95.3	84.5	102.1	30.9	86	95.1	53.5	74.3	63.5	17.8
175	67	38.7	62.6	46.2	96	85.2	102	31.2	86.6	95.7	53.9	74.4	63.8	17.8
175	68	38.8	62.6	46.4	96.6	86	102	31.4	87.2	96.2	54.3	74.5	64	17.9
175	69	39	62.6	46.6	97.2	86.8	102	31.6	87.7	96.8	54.7	74.6	64.3	18
175	70	39.1	62.5	46.8	97.9	87.5	102	31.9	88.3	97.4	55.1	74.7	64.5	18
